Experiment,Location,Temperature,Depth,Bottle,Timepoint,Treatment,Target_DOC_Amendment,Inoculum_L,Media_L,Datetime,TOC_Sample,Parallel_Sample,Cell_Sample,DNA_Sample,hours,days,cells,ln_cells,diff_ln_cells,exp_start,exp_end,ln_cells_exp_start,ln_cells_exp_end,cells_exp_start,cells_exp_end,days_exp_start,days_exp_end,mew,doubling,delta_cells,bc,delta_bc,ave_bc,sd_bc,ave_mew,sd_mew,ave_doubling,sd_doubling,ave_delta_cells,sd_delta_cells,ave_delta_bc,sd_delta_bc,ave_lag,sd_lag
144L_2018,Campus Point,20,1,A,0,Control,0,1.5,3.5,2018-10-15T16:30:00Z,TRUE,TRUE,TRUE,TRUE,0,0,332531521.981644,19.62224521651898,0,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,0.83132880495411,1.4361683357933677,0.9022186748269813,0.10025341540907842,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,1,Control,0,1.5,3.5,2018-10-16T08:00:00Z,FALSE,FALSE,TRUE,FALSE,15.5,0.6458333333333334,523943124.668706,20.076893695685772,0.4546484791667922,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,1.309857811671765,1.4361683357933677,1.3301541391070288,0.028703341525315163,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,2,Control,0,1.5,3.5,2018-10-16T20:00:00Z,FALSE,FALSE,TRUE,FALSE,27.5,1.1458333333333333,859019934.192826,20.571302685957296,0.4944089902715234,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,2.147549835482065,1.4361683357933677,1.9535756896271574,0.274320867817747,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,3,Control,0,1.5,3.5,2018-10-17T08:00:00Z,FALSE,FALSE,TRUE,FALSE,39.5,1.6458333333333333,906998856.298991,20.625651747107273,0.05434906114997773,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,2.2674971407474773,1.4361683357933677,2.3515190955670278,0.11882498804290735,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,4,Control,0,1.5,3.5,2018-10-17T20:00:00Z,TRUE,TRUE,TRUE,TRUE,51.5,2.1458333333333335,933025234.447921,20.65394280501384,0.02829105790656783,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,2.332563086119803,1.4361683357933677,2.5494210167950264,0.3066834266690657,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,5,Control,0,1.5,3.5,2018-10-18T08:00:00Z,FALSE,FALSE,TRUE,FALSE,63.5,2.6458333333333335,861129087.075272,20.57375497807078,-0.08018782694306026,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,2.15282271768818,1.4361683357933677,2.3478149122194525,0.2757606060630187,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,6,Control,0,1.5,3.5,2018-10-18T20:00:00Z,FALSE,FALSE,TRUE,FALSE,75.5,3.1458333333333335,798345826.604805,20.498052428210556,-0.07570254986022462,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,1.9958645665120125,1.4361683357933677,2.2729717175930437,0.3918886912893646,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,7,Control,0,1.5,3.5,2018-10-19T08:00:00Z,FALSE,FALSE,TRUE,FALSE,87.5,3.6458333333333335,818468442.863937,20.52294539919279,0.024892970982232754,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,2.0461711071598425,1.4361683357933677,2.1818557858700736,0.19188711283824503,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,A,8,Control,0,1.5,3.5,2018-10-19T20:00:00Z,TRUE,TRUE,TRUE,TRUE,99.5,4.145833333333333,967204147.775264,20.689920145691627,0.1669747464988376,1,3,20.076893695685772,20.625651747107273,523943124.668706,906998856.298991,0.6458333333333334,1.6458333333333333,0.5487580514215012,1.263119837174906,574467334.317347,2.4180103694381603,1.4361683357933677,2.2426861895482926,0.24794583301219117,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
144L_2018,Campus Point,20,1,B,0,Control,0,1.5,3.5,2018-10-15T16:30:00Z,TRUE,TRUE,TRUE,TRUE,0,0,389243417.879941,19.77971545878574,0,1,2,20.10741332078438,20.37206249290702,540180186.616917,703840617.5089,0.6458333333333334,1.1458333333333333,0.5292983442452767,1.309558565780703,314597199.62895906,0.9731085446998525,0.7864929990723977,0.9022186748269813,0.10025341540907842,0.539028197833389,0.010011936744030126,1.2863392014778046,0.023892528755133417,444532266.97315305,133702081.25955524,1.1113306674328827,0.33425520314888807,0.6458333333333334,0
